368 160
83 650
220 488
64 132
921 873
591 981
65 581
788 431
731 19
924 119
103 90
85 451
322 614
111 541
22 446
379 528
609 325
915 392
499 350
882 14
808 805
470 437
554 342
367 279
171 211
992 617
32 272
731 108
103 906
9 555
3 952
882 685
990 156
139 745
198 802
13 68
323 987
577 537
903 980
18 187
484 427
643 450
155 216
220 159
62 832
206 957
310 955
566 350
338 280
98 927
924 79
485 330
184 14
120 515
435 981
99 160
155 411
474 179
11 132
201 391
285 73
11 399
222 374
102 805
62 594
48 396
624 710
85 35
4 973
188 347
285 634
176 695
361 746
30 669
964 251
103 290
67 192
31 658
169 143
818 962
785 264
208 708
97 12
169 446
920 227
495 940
16 897
289 355
302 923
103 69
428 402
672 202
760 130
523 973
97 204
217 347
288 658
208 258
924 675
289 514
223 466
306 764
365 853
67 233
244 113
207 899
283 148
711 734
96 738
166 27
920 261
330 826
438 999
180 292
111 318
84 536
59 370
497 467
141 71
147 219
637 83
72 730
688 877
539 614
102 876
87 143
34 547
86 218
278 849
138 191
264 437
711 71
348 778
134 929
858 593
112 925
903 550
14 369
22 458
624 252
882 166
229 950
921 495
585 691
266 544
127 224
328 231
469 316
181 169
583 884
727 789
9 165
300 466
183 456
470 491
307 905
21 631
180 380
367 768
617 913
459 389
472 635
964 352
47 819
435 923
883 498
389 98
172 75
759 991
124 515
195 467
29 733
12 881
151 294
722 15
29 970
670 398
199 756
739 267
142 440
306 188
259 639
323 810
499 613
153 595
329 726
586 807
921 511
98 522
184 340
915 985
110 748
221 993
818 301
482 441
56 561
49 661
912 553
632 313
724 618
65 90
379 811
760 751
173 456
472 298
361 373
282 935
235 885
10 63
195 112
324 675
5 359
39 977
8 77
9 605
181 458
381 755
816 37
934 165
112 898
293 414
915 32
976 781
124 958
326 707
275 815
469 186
862 370
948 884
282 598
111 756
328 689
356 261
469 574
64 23
775 685
250 230
163 890
432 378
26 721
688 379
637 70
198 422
112 702
583 629
288 231
535 821
44 131
845 859
11 545
16 255
197 629
277 870
310 446
129 651
182 267
638 735
360 787
210 336
381 860
51 347
649 721
221 916
346 450
330 193
99 681
10 70
477 438
646 475
833 281
119 888
127 416
921 509
986 782
775 210
119 843
54 815
485 572
367 475
428 933
506 588
591 508
911 464
600 908
937 426
342 603
97 421
48 501
838 747
120 856
306 714
407 507
934 177
797 172
43 8
435 269
737 837
18 447
31 738
896 867
378 117
289 135
640 273
167 556
506 461
564 660
482 131
348 956
5 362
86 762
183 148
482 67
356 868
834 133
13 968
350 776
164 453
377 310
167 514
858 580
60 294
266 868
672 789
568 435
862 791
26 949
903 247
505 498
649 219
550 81
737 907
452 890
185 917
348 527
760 571
353 38
87 179
40 549
74 801
286 205
9 150
564 988
449 853
282 867
670 296
858 222
144 546
182 260
862 218
357 398
920 249
686 213
497 487
989 850
330 922
379 879
184 238
834 557
816 407
307 68
3 514
526 581
564 494
71 10
147 70
323 902
96 529
296 373
812 529
992 389
184 983
492 901
818 87
731 832
102 955
291 448
83 657
36 37
141 26
469 222
990 10
74 137
215 865
583 740
366 784
640 974
134 551
10 262
201 35
38 271
662 69
99 543
97 419
188 909
323 259
656 339
18 224
54 125
112 249
261 214
882 306
432 551
44 58
500 404
142 341
550 366
250 703
638 509
33 744
183 668
64 402
59 450
10 650
326 614
816 347
366 285
164 304
523 145
947 962
435 55
566 464
73 642
112 62
266 720
72 725
32 684
827 642
3 794
127 429
127 553
652 985
39 699
432 959
244 94
568 556
558 413
948 801
81 682
564 953
89 203
128 280
505 219
174 69
306 685
213 436
492 322
112 514
266 3
463 889
750 529
662 91
76 538
770 87
208 861
946 254
360 614
737 263
23 343
328 704
111 534
979 234
415 440
135 842
226 581
992 275
270 248
108 863
350 795
379 795
41 376
250 17
345 295
286 928
986 282
844 11
31 701
469 123
838 381
171 413
2 703
83 216
223 325
30 439
73 232
93 714
990 622
148 450
16 958
146 446
332 919
486 940
459 31
266 108
495 676
41 420
135 991
332 147
432 683
250 563
827 758
140 580
3 19
600 273
13 738
772 462
415 714
361 32
114 304
146 159
948 951
41 507
971 653
144 115
812 116
670 255
688 132
222 854
199 144
115 671
65 91
259 758
947 278
114 707
66 752
175 782
229 109
915 433
17 590
229 333
338 743
119 258
15 553
637 58
307 968
322 85
200 891
576 189
947 687
353 723
617 236
526 512
10 349
111 562
323 285
387 679
428 464
873 632
284 182
74 397
560 799
229 660
550 784
180 767
896 891
173 127
56 518
148 386
73 819
181 955
229 7
234 733
182 878
48 36
326 592
643 291
520 537
221 851
127 581
244 879
202 674
23 879
342 444
161 704
167 319
244 636
45 335
48 567
25 251
16 928
30 892
866 187
110 317
640 817
407 166
443 461
128 372
533 413
615 807
149 468
873 735
609 41
356 203
356 487
365 841
672 509
254 565
568 633
727 659
32 744
858 880
449 248
345 58
279 899
248 45
387 244
739 165
502 706
35 239
495 197
50 82
122 965
